Portfolio,Annualized Return,Annualized Volatility,Sharpe Ratio,Max Drawdown,Effective N (1/HHI)
GMV,0.11906607178229178,0.10925841973715346,1.0897656406593919,-0.17562445401688231,4.850987115416302
Equal Weight,0.15323730923832501,0.15578591437529005,0.9836403365016338,-0.27797147673167877,30.0
Max Sharpe,0.18316600265563254,0.14643965354693675,1.2507951106079631,-0.2696751326083341,7.334569807836359
